0:      -1.36992 * 2^-1310370    / -1.74623 * 2^-1336159
1:      1.40726 * 2^-1454583     / 1.00602 * 2^-1172502
2:      1.21917 * 2^-1315283     / 1.77663 * 2^-823093
3:      1.11467 * 2^-1062974     / -1.23608 * 2^-1290041
4:      1.98549 * 2^-947786      / 1.40223 * 2^-1512408
5:      1.93942 * 2^-933078      / -1.6105 * 2^-1474471
6:      1.3681 * 2^-1496508      / 1.06582 * 2^-1315877
7:      1.55687 * 2^-1464369     / -1.3857 * 2^-1422580
8:      -1.23091 * 2^-1350802    / -1.06023 * 2^-651222
9:      -1.148 * 2^-1476793      / -1.05082 * 2^-1236949
10:     -1.09749 * 2^-562609     / 1.67498 * 2^-1136774
11:     1.11677 * 2^-1512056     / 1.49584 * 2^-1116922
12:     1.00735 * 2^-1408139     / -1.56103 * 2^-1257845
13:     1.77131 * 2^-1456298     / -1.25437 * 2^-1214624
14:     -1.17649 * 2^-1165510    / 1.06588 * 2^-875218
15:     -1.87831 * 2^-784840     / 1.73675 * 2^-1076683
16:     -1.23491 * 2^-1313546    / 1.72836 * 2^-487304
17:     1.5953 * 2^-1505458      / 1.20089 * 2^-1112346
18:     1.45949 * 2^-747354      / 1.73567 * 2^-1355701
19:     -1.29075 * 2^-824705     / -1.93677 * 2^-929407
20:     1.5918 * 2^-1322798      / -1.10298 * 2^-1391741
21:     -1.75212 * 2^-1098368    / 1.04217 * 2^-1513506
22:     1.5093 * 2^-1495852      / -1.11823 * 2^-1513384
23:     1.4907 * 2^-953347       / -1.58901 * 2^-772985
24:     1.37106 * 2^-1083836     / -1.26575 * 2^-1416337
25:     -1.68208 * 2^-933423     / 1.0642 * 2^-887538
26:     1.37222 * 2^-1510911     / 1.44593 * 2^-1251618
27:     1.06215 * 2^-1504872     / 1.43405 * 2^-587104
28:     -1.59936 * 2^-1278830    / 1.03099 * 2^-1495972
29:     1.32932 * 2^-1023345     / 1.44553 * 2^-1373128
30:     1.16441 * 2^-1326382     / 1.67695 * 2^-513516
31:     1.91607 * 2^-1416487     / 1.8446 * 2^-1512821
32:     1.5791 * 2^-1317244      / 1.47685 * 2^-1464965
33:     1.2037 * 2^-1215817      / -1.54482 * 2^-1387060
34:     1.37188 * 2^-732015      / 1.89748 * 2^-1149366
